0.11,0.58,A
0.67,0.56,B
0.12,0.8,A
0.73,0.69,B
0.19,0.69,A
0.77,0.6,B
0.11,0.77,A
0.23,0.71,A
0.41,0.15,C
0.73,0.6,B
0.22,0.68,A
0.4,0.22,C
0.67,0.58,B
0.3,0.67,A
0.18,0.66,A
0.68,0.75,B
0.5,0.35,C
0.3,0.66,A
0.65,0.61,B
0.38,0.33,C
0.5,0.31,C
0.67,0.56,B
0.68,0.64,B
0.25,0.79,A
0.41,0.34,C
0.69,0.65,B
0.23,0.64,A
0.36,0.32,C
0.37,0.38,C
0.71,0.7,B
0.4,0.31,C
0.68,0.76,B
0.77,0.65,B
0.71,0.7,B
0.25,0.68,A
0.78,0.7,B
0.16,0.75,A
0.25,0.77,A
0.35,0.37,C
0.45,0.38,C
0.49,0.36,C
0.46,0.33,C
0.45,0.2,C
0.23,0.62,A
0.37,0.33,C
